Muestreo	Area_dialecta	COSERID	EjemploID	Ejemplo	Tipo	Pron_reflexivo	Verbo	Sdo_tipic_refl	Tipo_semantico	Tipo_sintactico	Compl_direccion	Anim_CD	Aspectualidades	Tipo_dativo	Presencia_del_dativo	Persona_verbal	Animacion_sujeto
No exhaustivo2017	Resto	425	425019	I1: eEl grande na más, no. Y mi | es mu esclavo eso y mu sucio y muy expuesto, más de lo que se cree la... Los, los dedos mira, cicatrices, [G-Mst] ¿las ves? mira, este corte [G-Mst] 	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	más		NA	3sg	Humano
No exhaustivo	Resto	103	103141	E: ¿Reza? I: ¡Hombre, no! ¿Qué te crees? Que hay que guardar las costumbres de antes.	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	qué		NA	2sg	Humano
No exhaustivo	Resto	106	106279	Fíjate, mira, ahí tengo una botella que me dio el otro día al mío. ¿Cuánto te crees que vale esta botella? 	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Claus		NA	2sg	Humano
Exhaustivo	Resto	107	107184	el padrino creo que entraría también, y el monaguillo, yo me acuerdo poco de aquello, porque ya... luego quitaron eso.	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Claus		NA	1sg	Humano
Exhaustivo	Resto	107	107192	qué va, si, te crees como ahora veinte platos o qué, sí...	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Claus		NA	2sg	Humano
Exhaustivo	Resto	107	107254	[chicos que quedan con 2 chicas] ¿Y ahora te crees que no hay o qué?	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Claus		NA	2sg	Humano
Exhaustivo	Resto	107	107255	"¿Y ahora te crees que no te llevan con el coche tal y cual? ""Bueno, que tengo que madrugar"" y se marcha a otro lao, (ande=a donde) otra, y otra (ande=a donde) otro, ¿te crees que no hay o qué?, "	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Claus		NA	2sg	Humano
Exhaustivo	Resto	107	107256	"¿Y ahora te crees que no te llevan con el coche tal y cual? ""Bueno, que tengo que madrugar"" y se marcha a otro lao, (ande=a donde) otra, y otra (ande=a donde) otro, ¿te crees que no hay o qué?, "	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Claus		NA	2sg	Humano
Exhaustivo	Resto	107	107259	Sí, sí, y ahora pasa, ¿no te crees que pasa o qué?, ¿eh? 	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Claus		NA	2sg	Humano
Exhaustivo	Resto	107	107267	Y antes era esto pa ocho, un cachico así cada uno. ¿Eh? ¿Qué te crees como ahora o qué?, ¿eh? 	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	qué		NA	2sg	Humano
Exhaustivo	Resto	107	107327	[antes] ¿Qué te crees que hay un mes de vacaciones como ahora o qué? 	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	qué		NA	2sg	Humano
Exhaustivo	Resto	107	107348	Yo creo que tiene que ser un apuro muy grande. 	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Claus		NA	1sg	Humano
Exhaustivo	Resto	107	107398	[respeto] ¿te crees como ahora?, 	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Claus		NA	2sg	Humano
Exhaustivo	Resto	107	107445	[volver la guerra civil] bueno nada, ¿no ves cómo está?, ¿te crees que?, pero si eso va cada día peor.	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Claus		NA	2sg	Humano
Exhaustivo	Resto	107	107484	¿Te crees que te dejaban con dieciséis años o qué, fumar o qué?	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Claus		NA	2sg	Humano
Exhaustivo	Resto	107	107494	sí, hombre, claro y sí, ¿qué te crees?, ¿que teníamos coche o qué? 	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	qué		NA	2sg	Humano
Exhaustivo	Resto	109	109227	[los novios / as en mutuamente] Siempre te re- | Pos yo creo que sí te regalaban algo. 	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Claus		NA	1sg	Humano
Exhaustivo	Resto	109	109229	Por ejemplo, él le regalabas, y si tú los hacías te regalaba él, pos yo creo que eso sigue como ahora también, que se regala.	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Claus		NA	1sg	Humano
Exhaustivo	Resto	109	109241	Pocos hay, no hay muchos niños aquí, no, hay pocos. No creas que hay muchos, no.	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Claus		NA	2sg	Humano
Exhaustivo	Resto	109	109249	Y, y había otras que se casaban de negro, pues yo creo que en aquella época se llevaba el negro, cuando se casó mi hermana, una que tengo en Artziniega y [A-PIn: ahora] que es la mayor, esa se casó de azul marino. 	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Claus		NA	1sg	Humano
Exhaustivo	Resto	109	109304	De eso nada, antes estaban mucho más…, más sujeto la juventud, yo creo, que ahora.	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Nulo		NA	1sg	Humano
No exhaustivo	Resto	204	204121	[A-PIn: Porque, sí, eh,] qué te crees que [A-Inn].	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Claus		NA	2sg	Humano
No exhaustivo	Resto	204	204148	E2: Se lo cree, Mariano], se lo cree. I1: Sí, me lo creo, yo me lo creo. 	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Pronombre		NA	1sg	Humano
No exhaustivo	Resto	204	204149	E2: Se lo cree, Mariano], se lo cree. I1: Sí, me lo creo, yo me lo creo. 	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Pronombre		NA	1sg	Humano
No exhaustivo	Resto	204	204227	Bueno, y ella yo qué sé, que se lo creyó, pero la pájara es que era novia… 	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Pronombre		NA	3sg	Humano
No exhaustivo	Resto	204	204408	No es que sea muy creyente, porque no me lo creo todo, pero algo tiene que haber en este mundo, eso por descontao. 	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Pronombre		NA	1sg	Humano
No exhaustivo	Resto	204	204447	I1: [A-PIn: Fuera verdad, como si es] mentira. I2: No, pero que él… [HS:I1 O sea,] Que fue cierto. I1: que tú te lo crees, ¡vaya!	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	SD		NA	2sg	Humano
No exhaustivo	Resto	204	204448	No, que me lo creo no, que es que lo dijo la Francisca], 	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	SD		NA	1sg	Humano
No exhaustivo	Resto	204	204516	"Lo que pasa es que su padre de esa manera que es, que a mí me embarazó de catorce, quince años y se cree que todos van a hacer lo [A-Inn]""."	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Claus		NA	3sg	Humano
No exhaustivo	Resto	204	204643	y el hombre se creía que como yo estaba como estaba que me iba a ir con ellos, pero ellos no. 	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Claus		NA	3sg	Humano
Exhaustivo	Resto	211	211234	[amonestaciones] Ahora yo creo que no las [A-PIn:  hacen.]	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Claus		NA	1sg	Humano
Exhaustivo	Resto	211	211332	Pero ahora también creo que lo pasaréis bien. 	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Claus		NA	1sg	Humano
Exhaustivo	Resto	211	211685	Pero tú te crees, que les vas a enseñar…	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Claus		NA	2sg	Humano
No exhaustivo	Resto	214	214301	[A-Inn] es una calabaza y no se lo creen.	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Pronombre		NA	3pl	Humano
No exhaustivo	Resto	214	214309	[las hojuelas] Las hac-, hacemos peo no te creas que… Hacemos unos barreñacos… 	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Claus		NA	2sg	Humano
No exhaustivo	Resto	214	214311	Pero esto, esto… no te creas que no se hace.	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Claus		NA	2sg	Humano
No exhaustivo	Resto	214	214429	[han quitado las procesiones] No, qué raro no. Pero es por tos los laos, no te creas que…	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Claus		NA	2sg	Humano
No exhaustivo	Resto	222	222044	"ara voy yo a Albacete y digo: ""¿Qué los habéis creído vosotros, si tenéis que venir aquí a criar patatas y sembrar garbanzos pa comer?"". "	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	qué		NA	2pl	Humano
No exhaustivo	Resto	222	222246	Hombre, me creo yo. Amor verdadero, nada. Creo que no hay. 	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Nulo		NA	1sg	Humano
No exhaustivo	Resto	222	222335	"Y eh, digo: ""Eso no me lo creo yo ni borracho"". "	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Pronombre		NA	1sg	Humano
No exhaustivo	Resto	222	222580	"Le puse un par de banderillas, bueno, mí | y mí | a mí, a m- | digo: ""¿Qué te has creído tú? "	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	qué		NA	1sg	Humano
No exhaustivo	Resto	222	222604	"Le dije al secretario del Ayuntamiento, digo: ""Pos qué t'has creído tú, ¿tú qué te crees que soy un hojalatero?"", digo, ""ni pudieron los rojos conmigo ni los fascistas, [A-PIn: cuanto] ni más tú"". "	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	qué		NA	2sg	Humano
No exhaustivo	Resto	222	222605	"Le dije al secretario del Ayuntamiento, digo: ""Pos qué t'has creído tú, ¿tú qué te crees que soy un hojalatero?"", digo, ""ni pudieron los rojos conmigo ni los fascistas, [A-PIn: cuanto] ni más tú"". "	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	qué		NA	2sg	Humano
No exhaustivo	Resto	604	604134	Y no he vuelto a tener anillo, por eso las mozas cuando me ven se creen que no estoy casao, como no ven el anillo	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Claus		NA	3pl	Humano
No exhaustivo	Resto	607	607237	"[cambiar algo siendo joven y rica] Pues yo me creo que nada, porque tengo el marido de una prima-hermana, que he dicho, digo: ""Mira, si volviera a nacer cambiaría"", y dice: ""No, tú no cambias"", y es verdad. "	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Claus		NA	1sg	Humano
Exhaustivo	Resto	609	609094	E: ¿En aceite o en manteca? I1: No, no, en aceite, en aceite. E: Y antiguamente, ¿era en manteca? I1:  Echaban envuelto yo creo aceite	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Claus		NA	1sg	Humano
Exhaustivo	Resto	609	609252	Un trapo metido en agua y le refregaban, yo creo.	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Nulo		NA	1sg	Humano
Exhaustivo	Resto	609	609295	De caña, sí, lo selecionan yo creo. 	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Nulo		NA	1sg	Humano
Exhaustivo	Resto	609	609302	Pues bueno, creo que lo molerán como se muele la cebada y cosa de esa.	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Claus		NA	1sg	Humano
Exhaustivo	Resto	609	609310	[en colchones de paja] Eso... no creo que se duerma bien en eso ¿no?	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Claus		NA	1sg	Humano
Exhaustivo	Resto	609	609340	[educación] Yo creo que, es igual, lo único que ahora ya eso ahora los hijos se van fuera a estudiar, y eso ya saben más, claro. 	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Claus		NA	1sg	Humano
No exhaustivo	Resto	716	716262	Tenías mucha más ilusión porque es que hoy te lo dan todo [A-Inn] joven ni na, te crees que [A-Inn] hace más ilusión. 	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Claus		NA	2sg	Humano
No exhaustivo	Resto	716	716359	No te vayas a creer, que mucho no había. 	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Claus		NA	2sg	Humano
No exhaustivo	Resto	716	716368	Lo que pasa que os la contamos a vosotros y no os la creéis. 	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Pronombre		NA	2pl	Humano
No exhaustivo	Resto	716	716370	Os la contamos a, a vosotros y no os la, no os la creéis. 	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Pronombre		NA	2pl	Humano
No exhaustivo	Resto	723	723375	pero con cualquiera no se bailaba, ¿eh?, no, no te creas.	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Nulo		NA	2sg	Humano
No exhaustivo	Resto	723	723433	Sí, porque no entraban an ca los novios, no entraban, no iban por allí y luego ellos venían a la casa de la novia pero, escucha, por la noche un ratito, ¿eh? No te creas que íbamos a estar ahí to el día berre que berre, nada...	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Claus		NA	2sg	Humano
No exhaustivo	Resto	723	723454	había muchas, que eran mu..., mu ligeras. Pero no te creas que porque se hicieran novias, uhh [OTRAS-EM] andaban al..., al escondite como no era... 	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Claus		NA	2sg	Humano
No exhaustivo	Resto	723	723457	Tenían ya la digo más... y tenía la gente vergüenza y... no te creas, no, yo no sé por lo que era aquello, tenía ese temor la gente de que, si me ven, si me | hoy ya la gente es más liberal y ya está. 	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Nulo		NA	2sg	Humano
No exhaustivo	Resto	723	723463	y yo le vía por la noche una miaja, no te creas, y estuvo cuarenta y s-... | dos días, cuarenta y cinco días, trajo de permiso, eso, 	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Nulo		NA	2sg	Humano
Exhaustivo	Resto	726	726012	No te creas que había muchas ganancias. 	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Claus		NA	2sg	Humano
Exhaustivo	Resto	726	726221	¿Tú te crees que antes las madres se podían gastar el dinero que nos gastamos ahora? 	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Claus		NA	2sg	Humano
Exhaustivo	Resto	726	726402	No te creas qu'iba pa casa. 	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Claus		NA	2sg	Humano
Exhaustivo	Resto	726	726407	Y luego mi madre ¿qué se creía?, que, que estaba en el cole. 	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	qué		NA	3sg	Humano
Exhaustivo	Resto	726	726423	No querrás cre(é=er) que no hay más que una enredadera. 	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Claus		NA	2sg	Humano
Exhaustivo	Resto	726	726439	Y, y a mi hijo… ¿Tú te crees…? Claro les estaba riñiendo porque nos estaban molestando. 	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	NA		NA	2sg	Humano
Exhaustivo	Resto	726	726451	No te creas que no se lo dirá alguna vez si es que tiene novia. 	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Claus		NA	2sg	Humano
Exhaustivo	Resto	726	726452	Fu... Está grabando. ¿Y a mí qué? Si yo lo sé, ¿por qué te crees que tengo aquí este medio campanillo puesto? 	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Claus		NA	2sg	Humano
No exhaustivo	Resto	728	728272	Y cuando ya éramos más mocitas, que empezaron las niñas, a lo mejó, mis amigas a fumarse un cigarrito porque ya, aquí en el pueblo, no te creas que es porque estábamos en el pueblo, 	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Claus		NA	2sg	Humano
No exhaustivo	Resto	728	728338	pero... aquí no te creas, ¿eh? Que la juvent(ú=ud) hoy no se casa... como nos casábamos nosotros. 	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Nulo		NA	2sg	Humano
No exhaustivo	Resto	728	728480	 y entonces nos creíamos que venía el que fuera que no nos gustaba a la que fuera de nosotras, de las amigas, nos metíamos allí donde mi primo y claro, como luego nos salíamos por la otra puerta, pues ya se los despistábamos, los despistábamos.	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Claus		NA	1pl	Humano
Exhaustivo	Resto	922	922007	[cerditos] Lo ordinario, pues, podríamos de calcular diez… no más…yo creo que… hombre, sí, se sacaba, se sacaba dinero porque algunos años valieron, valieron mucho 	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Claus		NA	1sg	Humano
Exhaustivo	Resto	922	922079	E:  Claro. Y, ¿para cocinar se utilizaba o no? I:  Pues no tanto, porque no quedaba tampoco no creas, y es que se hacía mucha morcilla, 	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Nulo		NA	2sg	Humano
Exhaustivo	Resto	922	922177	Este mes, se puede cortar... creo que es desde octubre o así hasta ahora, puedes cortar. 	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Claus		NA	1sg	Humano
Exhaustivo	Resto	922	922253	Yo creo que se venderían, parece que no tengo yo mucha idea de eso, pero me parece que tendría que ser, porque qué se iba hacer con los pollos, se vendían, yo creo que sí. Se dejaba uno...	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Claus		NA	1sg	Humano
Exhaustivo	Resto	922	922254	Yo creo que se venderían, parece que no tengo yo mucha idea de eso, pero me parece que tendría que ser, porque qué se iba hacer con los pollos, se vendían, yo creo que sí. Se dejaba uno...	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Claus		NA	1sg	Humano
Exhaustivo	Resto	922	922279	[el cura] Este que tenemos creo que es igual que los de antes.	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Claus		NA	1sg	Humano
Exhaustivo	Resto	922	922377	Bueno, creo que lo que más… lo que más se… se usaba [‘acostumbraba’] era eso, eh, la ropa de la novia, 	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Claus		NA	1sg	Humano
Exhaustivo	Resto	922	922390	Pero que no, como digo, la mayor parte de los matrimonios yo creo que eran dentro del pueblo, o de pueblos limítrofes.	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Claus		NA	1sg	Humano
Exhaustivo	Resto	922	922477	E:  Y la, la mujer cuando estaba recién parida... I:  Al poco tiempo ya... entonces… ocho días se tiraba yo creo que en la cama, eh, si no la daban alimentos. 	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Claus		NA	1sg	Humano
Exhaustivo	Resto	922	922492	[contratar trabajadores] Sí, pero a trabajar justo con algún labrador que no tenía, solían coger a alguien que les ayudara en el verano, sobre todo, pero creo que se salían más... que los que… sí, eso por supuesto, porque si no, claro, hubieran cogido del mismo pueblo. 	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Claus		NA	1sg	Humano
Exhaustivo	Resto	922	922499	Yo me acuerdo de estar... pues no sé si habré estado más veces, creo que no, cogiendo patatas, ya había terminano mi padre con los otros y un señor no... 	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Claus		NA	1sg	Humano
No exhaustivo	Resto	924	924106	E:  ¿Catorce? No me lo puedo creer. I:  ¡Ah!, pues creas, maja. 	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Nulo		NA	2sg	Humano
No exhaustivo	Resto	934	934188	Las mantas, la paja, la paja se ponía en mantas, se llenaban las mantas y al pajar con las mantas, a, al hombro, ¿qué te crees tú?	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	qué		NA	2sg	Humano
No exhaustivo	Resto	934	934190	E: ¿Arriba? I2: Claro, ¿qué te crees tú? 	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	qué		NA	2sg	Humano
No exhaustivo	Resto	934	934393	[cenar] ¿Qué te crees que era como ahora, cada día una cosa?, ahora no se come dos días seguidos una cosa igual. 	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	qué		NA	2sg	Humano
No exhaustivo	Resto	1014	1014058	Pues, ¿qué te crees, que nos miraban como miran ahora? Ni hablar.	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	qué		NA	2sg	Humano
No exhaustivo	Resto	1014	1014086	¿Qué te crees, que no se pasan algún niño hambre? 	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	qué		NA	2sg	Humano
No exhaustivo	Resto	1014	1014144	[a los novios] Pues que los buscan pa que no puedan dormir, qué te crees.	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	qué		NA	2sg	Humano
No exhaustivo	Resto	1015	1015341	los muchachos, pobrecitos infelices, que lo hacen fatal y que son unos paletos horrorosos, pues m'han cantao eso, pos creyéndose que era mu bonito, y mi abuela se ha creído que era insultarme cantarme eso: 	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Claus		NA	3pl	Humano
No exhaustivo	Resto	1015	1015342	los muchachos, pobrecitos infelices, que lo hacen fatal y que son unos paletos horrorosos, pues m'han cantao eso, pos creyéndose que era mu bonito, y mi abuela se ha creído que era insultarme cantarme eso: 	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Claus		NA	3sg	Humano
No exhaustivo	Resto	1015	1015459	"Fíjate, de yo echándole la bronca, que yo no se la eché porque no me atreví, menudo se puso, ""Pero oyes, niña, ¿tú te crees que yo me preocupo de ti para nada?"". "	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Claus		NA	2sg	Humano
No exhaustivo	Resto	1015	1015473	"dice: ""Bueno, no te vayas a creer que te voy a dar un abrazo y que, que to'l mundo lo va a ver, ni que... No va a pasar nada"". "	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Claus		NA	2sg	Humano
No exhaustivo	Resto	1015	1015739	"Cualquiera de aquí que se le encontró, dice: ""Chon tiene novio"". Pues rápidamente: ""No, no me lo creo"". "	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Pronombre		NA	1sg	Humano
Exhaustivo	Resto	1020	1020096	Dos mil y pico hay, vamos yo creí que eran vecinos. Porque hay habitantes y vecinos.	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Claus		NA	1sg	Humano
Exhaustivo	Resto	1020	1020159	Eso se lo cree usté, que yo no tengo na	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Pronombre		NA	3sg	Humano
Exhaustivo	Resto	1020	1020214	[Helena] ¿La tiene el agua? Va al pilón, yo creo que no tiene agua.	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Claus		NA	1sg	Humano
Exhaustivo	Resto	1020	1020255	Si hace ahora... cuestión de cinco años o seis que, que están. Anda, no creas que mucho.	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Claus		NA	2sg	Humano
Exhaustivo	Resto	1020	1020257	Bueno, no creas.	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Nulo		NA	2sg	Humano
Exhaustivo	Resto	1023	1023138	Pero, sí: los había bien malos… no crean que hagan ahora a eso, déjalo. 	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Claus		NA	3pl	Humano
Exhaustivo	Resto	1107	1107319	Ayudo mucho en la tienda, yo me creí que eran los inspectores de Sanidad ustedes 	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Claus		NA	1sg	Humano
Exhaustivo	Resto	1107	1107347	"Digo ""no creéis que vais a vivir siempre así "	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Claus		NA	2pl	Humano
Exhaustivo	Resto	1205	1205273	Si yo creo que para hacer baberos, yo creo que los deben de llevar, digo yo, yo no sé para qué les llevan.	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Claus		NA	1sg	Humano
Exhaustivo	Resto	1205	1205274	Si yo creo que para hacer baberos, yo creo que los deben de llevar, digo yo, yo no sé para qué les llevan.	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Claus		NA	1sg	Humano
Exhaustivo	Resto	1205	1205311	lo lavan con aquellos aparatos y después lo guardaban primero yo creo... no sé si lo guardaban, [A-PIn:lo hilaban ] y hacían ya la lana, l	Verbo se	No	creer		Cognición	Transitivo	NA	NA	NA		NA	1sg	Humano
Exhaustivo	Resto	1205	1205438	E2: Y, ¿y los zapatos? I1: Negros serían, creo yo. 	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Nulo		NA	1sg	Humano
Exhaustivo	Resto	1205	1205481	[a su hija la médico] No creas que esa la importa venir a casa y ordeñar a las vacas si hace falta. 	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Claus		NA	2sg	Humano
Exhaustivo	Resto	1212	1212075	"Fíjate que dice mi, mi muchacho que fue a enterrar a [A-Inn] los que dejaron y dice que no, dice ""no dejaron más que la piel, la piel y los [A-PIn: más] y los huesos hasta yo creo que le comieron""."	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Claus		NA	1sg	Humano
Exhaustivo	Resto	1212	1212212	No sé, no creo, no creo que fueran más días, no.	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Nulo		NA	1sg	Humano
Exhaustivo	Resto	1212	1212213	No sé, no creo, no creo que fueran más días, no.	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Claus		NA	1sg	Humano
Exhaustivo	Resto	1228	1228048	[cerdo] Yo creo en mi vida hemo-, hemos matado uno nada más. 	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Claus		NA	1sg	Humano
Exhaustivo	Resto	1228	1228214	Ah, pues íbamos a, a… este pueblo, pos hay una fuente muy buena donde la iglesia, que da agua para, para yo creo que para un capital. 	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Claus		NA	1sg	Humano
Exhaustivo	Resto	1228	1228248	Pero tamb-, también ahora los compraos vienen achorizaos, achorizaos le llaman el… que vienen estas larguras primeramente, ataos y cada que son, yo creo que lo harán con el fin de, de comer uno, cada, cada vez. 	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Claus		NA	1sg	Humano
Exhaustivo	Resto	1232	1232138	Y queso, eso sí, el queso aquí l'hacen yo creo que la mayoría,[A-Inn], pero… 	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Claus		NA	1sg	Humano
Exhaustivo	Resto	1232	1232177	Y el kilo de pan aquí, creo que cuesta ciento noventa pesetas. 	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Claus		NA	1sg	Humano
Exhaustivo	Resto	1232	1232199	Yo creo que eso no ha cambiao.	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Claus		NA	1sg	Humano
Exhaustivo	Resto	1232	1232260	Y yo creo, creo, pa mí, que se acostumbran a comer mucho mejor, los chavales, allí tie(0=ne)n que comer. 	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Claus		NA	1sg	Humano
Exhaustivo	Resto	1232	1232261	Y yo creo, creo, pa mí, que se acostumbran a comer mucho mejor, los chavales, allí tie(0=ne)n que comer. 	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Claus		NA	1sg	Humano
Exhaustivo	Resto	1232	1232272	[los niños, en carnaval] Ahí en el colegio, creo se pintan, se disfrazan un poco que tienen que hacer eso y bajan los [A-PIn: chiquios] a casa se | enmascaraos y esas cosas, pero lo demás gente mayor, como antes, antes se hacía…	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Claus		NA	1sg	Humano
Exhaustivo	Resto	1232	1232286	"El alcalde que es el alcalde, ""déjalo, que yo creo que antes de un año viene, y ya te la tiene que poner"", te la ponen, lo [A-Inn], te la ponen hasta la puerta. "	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Claus		NA	1sg	Humano
Exhaustivo	Resto	1404	1404135	Pues por la mañana yo creo que cierran a la una o hasta las doce o...	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Claus		NA	1sg	Humano
Exhaustivo	Resto	1414	1414581	[queso] De vaca, como sea el de oveja, ¿qué te crees? Va to revuelto.	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	qué		NA	2sg	Humano
No exhaustivo	Resto	1417	1417240	Y está así en la cama, haciendo ¡pum, pum, pum...! y se creen que estás haciendo otra cosa y lo que estás es cachondeándote de los novios, dentro, moviendo la cama para que se sienta el cencerro.	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Claus		NA	3pl	Humano
Exhaustivo	Resto	1514	1514037	Yo creo que hay muncha enfermedad, 	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Claus		NA	1sg	Humano
